Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,17,0.5,symmetric,0.5493787797071407
100% Corpus,17,1,0.01,0.4996627892921352
100% Corpus,17,1,0.5,0.5321032368125357
100% Corpus,17,1,1,0.4203155464447689
100% Corpus,17,1,symmetric,0.5108399247668687
100% Corpus,17,symmetric,0.01,0.3834744571385678
100% Corpus,17,symmetric,0.5,0.4973885456903828
100% Corpus,17,symmetric,1,0.6210022635756338
100% Corpus,17,symmetric,symmetric,0.36249372130555907
100% Corpus,17,asymmetric,0.01,0.40763052051047455
100% Corpus,17,asymmetric,0.5,0.3459758733048588
100% Corpus,17,asymmetric,1,0.3575485516606411
100% Corpus,17,asymmetric,symmetric,0.396707489449946
100% Corpus,19,0.01,0.01,0.4279331326759247
100% Corpus,19,0.01,0.5,0.3976320019823004
100% Corpus,19,0.01,1,0.45231633521945735
100% Corpus,19,0.01,symmetric,0.4023422641254342
100% Corpus,19,0.5,0.01,0.5236496526830379
100% Corpus,19,0.5,0.5,0.5115139190812631
100% Corpus,19,0.5,1,0.5093227502637908
100% Corpus,19,0.5,symmetric,0.5173362430080362
100% Corpus,19,1,0.01,0.48024949114702586
100% Corpus,19,1,0.5,0.528659628982995
100% Corpus,19,1,1,0.4107029660284735
100% Corpus,19,1,symmetric,0.48660649381956955
100% Corpus,19,symmetric,0.01,0.4051525826536075
100% Corpus,19,symmetric,0.5,0.494777137396518
100% Corpus,19,symmetric,1,0.5275872537166933
100% Corpus,19,symmetric,symmetric,0.3481593952661422
100% Corpus,19,asymmetric,0.01,0.3597866713304788
100% Corpus,19,asymmetric,0.5,0.43406744835085115
100% Corpus,19,asymmetric,1,0.5070666050257026
100% Corpus,19,asymmetric,symmetric,0.38271212433836793
100% Corpus,21,0.01,0.01,0.4263508186548935
100% Corpus,21,0.01,0.5,0.4055973020598332
100% Corpus,21,0.01,1,0.40470612087512153
100% Corpus,21,0.01,symmetric,0.389311395498127
100% Corpus,21,0.5,0.01,0.5338532714568257
100% Corpus,21,0.5,0.5,0.46840164274802154
100% Corpus,21,0.5,1,0.5106317213331543
100% Corpus,21,0.5,symmetric,0.5157439195816016
100% Corpus,21,1,0.01,0.48660303110979947
100% Corpus,21,1,0.5,0.5386671894005424
100% Corpus,21,1,1,0.40488158776432204
100% Corpus,21,1,symmetric,0.4870334037211223
100% Corpus,21,symmetric,0.01,0.43392223874378083
100% Corpus,21,symmetric,0.5,0.43021281521928456
100% Corpus,21,symmetric,1,0.4322630489008448
100% Corpus,21,symmetric,symmetric,0.3977698394628741
100% Corpus,21,asymmetric,0.01,0.38783510703155394
100% Corpus,21,asymmetric,0.5,0.40734159403684
100% Corpus,21,asymmetric,1,0.3716589710414069
100% Corpus,21,asymmetric,symmetric,0.363856799116694
