Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,17,0.5,symmetric,0.5473365055274333
100% Corpus,17,1,0.01,0.5174801119207648
100% Corpus,17,1,0.5,0.5339208597859431
100% Corpus,17,1,1,0.5283643215201854
100% Corpus,17,1,symmetric,0.529656407870232
100% Corpus,17,symmetric,0.01,0.5285892596206674
100% Corpus,17,symmetric,0.5,0.5148519982597255
100% Corpus,17,symmetric,1,0.537950575541201
100% Corpus,17,symmetric,symmetric,0.4986230082138562
100% Corpus,17,asymmetric,0.01,0.538956014080486
100% Corpus,17,asymmetric,0.5,0.5387449276168019
100% Corpus,17,asymmetric,1,0.5475421684464391
100% Corpus,17,asymmetric,symmetric,0.531851213745377
100% Corpus,19,0.01,0.01,0.5313875961502481
100% Corpus,19,0.01,0.5,0.5202551258341908
100% Corpus,19,0.01,1,0.5182939278768781
100% Corpus,19,0.01,symmetric,0.5370707895923592
100% Corpus,19,0.5,0.01,0.5451778157271615
100% Corpus,19,0.5,0.5,0.5216899770646892
100% Corpus,19,0.5,1,0.5450880763089889
100% Corpus,19,0.5,symmetric,0.5481855997694063
100% Corpus,19,1,0.01,0.5307703337163873
100% Corpus,19,1,0.5,0.5233859420319538
100% Corpus,19,1,1,0.5339615890820255
100% Corpus,19,1,symmetric,0.5264152551548923
100% Corpus,19,symmetric,0.01,0.5314015974294605
100% Corpus,19,symmetric,0.5,0.5280394920710811
100% Corpus,19,symmetric,1,0.5468274127928348
100% Corpus,19,symmetric,symmetric,0.5419310015370981
100% Corpus,19,asymmetric,0.01,0.5426770769606442
100% Corpus,19,asymmetric,0.5,0.5224874386107514
100% Corpus,19,asymmetric,1,0.5387575678886687
100% Corpus,19,asymmetric,symmetric,0.512886688365359
100% Corpus,21,0.01,0.01,0.5360786058574195
100% Corpus,21,0.01,0.5,0.5357973587372199
100% Corpus,21,0.01,1,0.5624122440460182
100% Corpus,21,0.01,symmetric,0.5098311737158776
100% Corpus,21,0.5,0.01,0.5561665339696021
100% Corpus,21,0.5,0.5,0.5170175565402667
100% Corpus,21,0.5,1,0.5335672279817258
100% Corpus,21,0.5,symmetric,0.5181781243657174
100% Corpus,21,1,0.01,0.5341116236790441
100% Corpus,21,1,0.5,0.5301446601361143
100% Corpus,21,1,1,0.5153737389206141
100% Corpus,21,1,symmetric,0.5453427744482541
100% Corpus,21,symmetric,0.01,0.5139225290732861
100% Corpus,21,symmetric,0.5,0.5381976274102944
100% Corpus,21,symmetric,1,0.5841744218508362
100% Corpus,21,symmetric,symmetric,0.5309796386623901
100% Corpus,21,asymmetric,0.01,0.5089957687456528
100% Corpus,21,asymmetric,0.5,0.5486186698760074
100% Corpus,21,asymmetric,1,0.5569125107572449
100% Corpus,21,asymmetric,symmetric,0.5266799566680389
